auroc,auprc,f1,shd,dataset,kind,d,n,seed,method,time_s,n_params,gen_seed
0.9092237442922376,0.7107596600099727,0.7692307692307693,6,linear_d20_n2000,linear,20,2000,44,NOTEARS,0.145,,44
1.0,1.0,1.0,0,linear_d20_n2000,linear,20,2000,44,GOLEM,0.254,,44
1.0,1.0,1.0,0,linear_d20_n2000,linear,20,2000,44,PCMCI,4.545,,44
1.0,1.0,1.0,0,linear_d20_n2000,linear,20,2000,44,VarLiNGAM,3.516,,44
0.6874885844748859,0.0682475790472599,0.1382978723404255,162,linear_d20_n2000,linear,20,2000,44,Neural-GC,48.822,,44
1.0,1.0,1.0,0,linear_d20_n2000,linear,20,2000,44,CD-KAN,4.334,13220.0,44
1.0,1.0,1.0,0,linear_d50_n3000,linear,50,3000,42,VAR-Lasso,0.463,,42
0.9992301276704948,0.9623990221016748,0.9158878504672896,9,linear_d50_n3000,linear,50,3000,42,Correlation,0.206,,42
0.6324020016680567,0.0650259828213072,0.123076923076923,57,linear_d50_n3000,linear,50,3000,42,NOTEARS,0.145,,42
1.0,1.0,1.0,0,linear_d50_n3000,linear,50,3000,42,GOLEM,0.382,,42
0.8480384294604478,0.3901449062558177,0.4318181818181818,50,linear_d50_n3000,linear,50,3000,42,CD-KAN,15.832,82550.0,42
1.0,1.0,1.0,0,linear_d50_n3000,linear,50,3000,43,VAR-Lasso,0.485,,43
0.9990866671489548,0.9551648693796686,0.8979591836734694,10,linear_d50_n3000,linear,50,3000,43,Correlation,0.219,,43
0.527164870143963,0.0749145765849888,0.1481481481481481,69,linear_d50_n3000,linear,50,3000,43,NOTEARS,0.15,,43
1.0,1.0,1.0,0,linear_d50_n3000,linear,50,3000,43,GOLEM,0.452,,43
0.8426897200318311,0.4365309789036867,0.4705882352941176,36,linear_d50_n3000,linear,50,3000,43,CD-KAN,19.439,82550.0,43
1.0,1.0,1.0,0,linear_d50_n3000,linear,50,3000,44,VAR-Lasso,0.623,,44
0.9995927076969392,0.979404468535418,0.9473684210526316,5,linear_d50_n3000,linear,50,3000,44,Correlation,0.245,,44
0.5356690661495825,0.0613346473468965,0.0857142857142857,64,linear_d50_n3000,linear,50,3000,44,NOTEARS,0.163,,44
